miRNA	ZhouCB1_NS	ZhuCB12_NS	SunCB13_NS	YangCB14_NS	JiangCB15_NS	LuCB16_NS	DaiCB41_NS	JiangCB42_NS	FengCB50_NS	Su6B4_NS	Pan6B35_NS	Li6B36_NS	Zhao6B37_NS	Tang6B39_NS	Chen6B40_NS	Chen7B3_NS	Yang7B6_NS	Yu7B7_NS	Li7B8_NS	Chen7B9_NS	Jin7B32_NS	Lu7B34_NS	Pan8B10_NS	Hu8B28_NS	Liu8B30_NS	Zhou8B31_NS	Xi9B2_NS	Guo9B5_NS	Fang9B21_NS	Ye9B27_NS	Dai7b19_NS	Li7B48_NS	Zhang8B22_NS	Liao8B24_NS	Wu8B25_NS	Chen8B44_NS	Li9B18_NS	Xu9B46_NS
hsa-let-7c-5p	2.586684497	-5.201248107	-0.329298214	1.48237199	0.040282234	-1.040223675	0.027151086	0.395861878	0.542069628	3.811039249	1.158943643	2.713497972	0.931300501	2.115700478	-1.278854261	-2.070987175	0.78322061	2.459164597	2.323934994	3.329193434	2.751021676	2.590770475	2.277187691	1.455556442	6.652589604	2.772551402	1.593966907	4.155578911	3.903550582	0.600067085	1.419400938	-0.50111143	0.615614627	1.02947608	1.69502666	2.70768292	1.661860059	-2.114035172
hsa-miR-6820-5p	1.286587027	-1.119238963	0.530769065	-1.458049908	-0.867504824	-0.401720347	0.977294276	1.735100501	-1.188629109	0.470116318	1.717561153	2.688255316	1.396661871	2.495828858	0.60885565	-2.359840754	-1.526897557	1.23147436	0.070883453	-0.351817198	2.230134737	2.88482283	-0.866893758	2.72810736	2.332958784	1.043747545	4.083620944	0.787480167	-0.894572805	0.798781116	-0.9744604	9.556952838	-0.558430479	1.821879729	2.089163874	7.142527991	0.662200441	-0.088997497
hsa-miR-1246	1.221546939	-0.736776547	-1.117472186	1.05501579	-0.39370735	-1.212978097	0.928971631	-0.80280073	0.709890297	3.554232602	-1.655711544	0.035075247	-0.322845407	0.546289119	2.774650344	2.955403562	1.364296719	2.498615135	2.394629159	2.256263409	1.053635556	-0.707753469	1.88827719	-0.679027629	0.485956835	0.730095501	-0.958758157	1.051790654	1.788186251	1.659895787	0.781912666	-0.358098109	-0.069466108	1.13168444	1.501700045	-0.845461691	0.604038869	0.185625469
hsa-miR-584-5p	0.560255343	-3.935274241	1.311870416	1.674114628	0.924984223	0.266589694	1.017077345	-2.26467709	-0.690377998	3.173359985	-1.431386896	1.943461914	3.336342449	0.057603227	0.913334447	5.636089655	1.541443456	2.503171958	2.06321365	4.268256164	-0.19010685	1.575471508	2.960943002	2.197642245	-0.121588185	-2.470633967	2.887238842	2.130463422	0.833300844	-2.487985603	-0.90261626	3.08393353	0.061566115	0.648096314	1.780973771	2.652547353	1.552292955	4.567487871
hsa-miR-342-3p	0.761807659	-1.430324903	2.15899051	1.47851309	-1.575562237	0.602752066	0.355863135	-0.990346099	-2.138605635	6.612178818	-0.665511844	2.889524091	1.860832144	1.715194526	0.501330912	1.035421358	1.575647311	4.380176807	2.736928711	5.241701151	0.275856601	1.848060827	1.948810876	2.677353116	3.591028538	-0.3691104	3.501610822	2.446286008	2.050307328	1.362375596	0.651728441	-0.931981177	1.750541634	0.41862857	-0.454059801	-1.375882565	1.630292974	-2.264532939
hsa-miR-5196-5p	2.143993099	-1.616538851	0.36713124	-0.818177379	-0.333284651	0.003333777	-0.887057717	1.238262853	-0.572906784	2.072922533	1.935689133	-1.068336838	-1.584997741	0.615581442	0.97878821	-1.30917216	1.774128962	2.21968699	9.395637664	-1.230478626	2.589320319	1.260257865	5.57821716	0.474035792	1.830640457	2.33504382	2.282072282	2.148514814	3.109832954	1.407768825	4.059315553	-0.818012835	1.605599312	0.95725581	0.267366881	-1.038850459	0.614187192	-0.123859969
hsa-miR-320b	0.190579635	-4.13054946	1.117099083	1.46837827	-0.183091603	-1.916187766	-0.007867837	2.162490795	0.117386774	2.855899098	2.722923567	1.684632565	1.863611369	1.266173687	-0.069631195	-3.671917357	0.406518233	0.438682407	0.388778892	2.659873479	2.177295912	1.433140948	1.621380576	0.462711986	1.465556096	0.906199143	0.338262765	1.490159192	2.014982007	-0.26142341	3.88533426	2.096086345	0.690539558	1.111018951	-0.403897117	4.69833215	3.446217057	2.368208313
hsa-miR-126-3p	0.504472229	0.134915464	-1.483290875	-1.441958453	-0.498400069	1.026698474	0.544980634	-0.1045689	1.01060582	3.34910454	-1.162852127	2.066620546	1.984863053	1.408067131	0.333127874	2.976137314	1.672959564	1.56441633	2.638918707	3.457198809	0.440970375	0.129089932	2.08444514	1.973959373	0.651514671	-2.083357665	1.353982842	1.363449306	2.555934048	0.791785329	0.906035383	-1.546926727	1.712369846	-0.215094428	1.688376859	-0.111359733	2.682264186	-0.908956193
hsa-miR-4299	3.527705577	0.83057062	-0.944139762	1.047886656	-0.892783165	-1.95418545	-1.149812422	-0.495282004	-0.982410592	2.102110422	0.545670277	-0.389984694	5.09873285	0.514777939	-0.950873003	-1.590351865	-0.861687402	5.666855032	1.901142413	-0.739323684	2.040433023	4.068754395	-0.90807715	6.249197504	1.623883589	1.199141849	5.818636001	3.374683669	-0.262549239	-1.330356465	0.689981703	-0.273349396	-0.467160461	4.567107707	3.118541898	-0.26215099	0.187355307	-1.545428448
hsa-miR-320a	-0.035768799	-1.517070231	0.246504887	0.803119766	0.928169503	-1.203151423	0.506636197	-0.67275784	0.89427628	1.339912132	3.196930964	1.635263542	1.678156101	2.19592214	-1.143543793	-3.480165409	1.147169103	0.946198697	0.140908653	0.176178275	2.602035052	1.504554698	0.437617654	0.166677571	1.435029583	1.255563809	3.473683281	0.814412461	0.911951689	-0.889620015	2.221315194	3.934104001	0.178253308	1.286163707	0.208607734	5.639727154	1.164277283	4.89084342
